
Upper bound 1577 after 1 search tree nodes
MaschineNo   2 :   51 141 151 112 173   3  85  48  16  35 197 140 168 108 187 127  70  80  30 100 
MaschineNo   3 :   71 121  53  22 172 137 162 144  33 181 195  49 155  65  86 113  19 105  92  10 
MaschineNo   4 :  191  21 132  81  72  13  45   2  63  57 158 104 146 176  95 188 170  39 118 129 
MaschineNo   5 :   31  12  44  82 153 138  25 174 163  74 125 183 103   6 198 115  93 147  69  60 
MaschineNo   6 :   61 171  43 142 133 152 193  24  14  32 101 124  76 185 166  88  96  59   9 120 
MaschineNo   7 :   42  62   1 134  54  83 102 164  17 184 126 145  29 159  37  79 178  97 119 200 
MaschineNo   8 :  192 135  23 154  46   5  75  67 114 167  20  89  94 109 177 149  58  38 189 130 
MaschineNo   9 :   11  52 136 143  47   4  34 182 156 165  27 106  77  68 199  90 128 117  98 180 
MaschineNo  10 :   41 122  73  55 139  15  64 196 157  87 186  28 107 169 148   7 116 179  99  40 

Upper bound 1445 after 30 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56 194  26  84 175  66  36   8  78  18 150 160 110  50 190 
MaschineNo   2 :   51 151 141 112 173   3  35  16  85 197 140 127 168 187  70 108  48  80 100  30 
MaschineNo   3 :   71 121  53  22 172 137 162 155 144  33 195 181  65 113  92  86 105  10  19  49 
MaschineNo   4 :  191  21 132  81  72  13  63   2  57  45 146 176  95 104 158 129 188  39 118 170 
MaschineNo   5 :   31  12  82 153 138  25 174 163  44  74 125   6 183 147  93 103 115 198  69  60 
MaschineNo   6 :   61 171 152  32 133 193  43  24 142  14 124 101  76 185 166  96   9  88  59 120 
MaschineNo   7 :    1  42  62 134  54  83 164 145 102 126 184  17  37  97 178 159  79 119  29 200 
MaschineNo   8 :  192 135  23 154   5  75  46 114  67  94 167 177 149  58  38  89 109 189  20 130 
MaschineNo   9 :   11  52 136 143   4  34 182 156 165  77  27  68 106 128  98  47 117 199 180  90 
MaschineNo  10 :   41 122  73  55 139  64  15 196 157   7 148 186  87  28 116 107 179  99 169  40 

Upper bound 1444 after 36 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56 194  26  84  36  66  18 175   8  78 160 110 150  50 190 
MaschineNo   2 :   51 151 141 112 173   3  35  16  85 197 140 127 108 168 187  48  70  80 100  30 
MaschineNo   3 :   71 121  53  22 172 137 162 155 144  33 195 181  65 113  86  92 105  19  10  49 
MaschineNo   4 :  191  21 132  81  72  13  63   2  57  45 104 158  95 146 176 129 118 188  39 170 
MaschineNo   5 :   31  12  82 153 138  25 174 163  44  74 125   6 103 183  93 115 147 198  69  60 
MaschineNo   6 :   61 171 152  32 133 193  43  24 142  14 124 101  76  88 185  96 166   9  59 120 
MaschineNo   7 :    1  42  62 134  54  83 164 102  17 126 184 145 159  37  97  79 178 119  29 200 
MaschineNo   8 :  192 135  23 154   5  75  46 114  67  94  20  89 167 109 177 149  58  38 189 130 
MaschineNo   9 :   11  52 136 143   4  34 182 156 165  27 106  77  68  47 128  98 117 199  90 180 
MaschineNo  10 :   41 122  73  55 139  64  15 196 157  87   7 107 186 148  28 116 169  99 179  40 

Upper bound 1443 after 37 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56 194  26  84  36  66  18 175  78   8  50 160 110 150 190 
MaschineNo   2 :   51 151 141 112 173   3  35  16  85 197  48 127 140 108 168 187  80  70 100  30 
MaschineNo   3 :   71 121  53  22 172 137 162 155 144  33 195 181  65 113  92 105  86  49  19  10 
MaschineNo   4 :  191  21 132  81  72  13  63  45   2  57 104 158 146 176  95 188 118 129  39 170 
MaschineNo   5 :   31  12  44  82 153 138  25 174 163  74 125   6 103 183  93 198 115 147  69  60 
MaschineNo   6 :   61 171 152  32 133  43 193  24 142  14 124 101  76 166 185  88  96   9  59 120 
MaschineNo   7 :   42  62   1 134  54  83 164 102  17 126 184 145 159  37 200  79 178  97 119  29 
MaschineNo   8 :  192 135  23 154  46   5  75 114  67  94  20 167  89 109 177 149  58  38 189 130 
MaschineNo   9 :   11  52 136 143   4  34  47 182 156 165 106  77 199  27  68 128 117  90  98 180 
MaschineNo  10 :   41 122  73  55 139  64  15 196 157   7  87 107 186 148 116  28 169 179  99  40 

Upper bound 1442 after 49 search tree nodes
MaschineNo   1 :  131  91 111 161 123  56  84 194  26 175  66  36  18   8  78 150  50 160 110 190 
MaschineNo   2 :   51 151 141 112  35 173   3  85 197  16 127 168  70 187  48 108 140  80 100  30 
MaschineNo   3 :   71 121  53  22  33 172 137 162 144 181 195 155 113  65  92  86 105  19  49  10 
MaschineNo   4 :   21 191 132  72  81  13  63   2  45  57 104 146 176  95 118 158 129 188  39 170 
MaschineNo   5 :   31  12  44 103  82 153  25 174 138 163 125  74   6 183 115  93 147  69 198  60 
MaschineNo   6 :   61  43 101  32 152 133 171 142  24 193 124  14  76 166 185  96  88 120  59   9 
MaschineNo   7 :   42  62 102   1 134  54  83 164 145 126  17 184  37 119  97 178 159  79  29 200 
MaschineNo   8 :  135  23 192 154   5  75 114  67 167  94 177  46 149  58 130  38 109  89 189  20 
MaschineNo   9 :   11  52 136  34 143   4 182 156 165  68 106 117  77 128  47  27 199  98 180  90 
